SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Unassigned.__.__.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	d__Eukaryota.p__Parabasalia.__.__
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2192	42	0	0	0	0	21	21	0	0	0	18	42	0	0	0	0	0	34	0	0	0	0	0	0	0	0	12463	0	0	15	4
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1182	18	0	0	0	0	21	11	0	0	0	71	97	12	0	0	0	0	0	0	0	0	0	0	0	0	0	22913	15	0	0	0
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	1295	28	0	0	0	0	58	15	0	0	0	93	182	0	0	0	0	0	16	12	6	0	0	0	0	0	0	13465	0	0	16	0
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	3450	6	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	47	0	0	0	0	0	0	0	0	17794	0	0	0	0
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2261	22	0	22	0	0	23	0	0	0	0	90	130	28	0	0	0	0	32	0	0	0	0	2	0	0	0	25395	7	0	0	0
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	2278	28	0	0	0	0	332	765	270	0	0	75	137	111	0	0	22	0	482	0	66	0	0	0	0	0	0	14061	9	9	36	130
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0	377	0	0	0	0	4064	0	0	30	0	755	1007	0	135	32	52	0	1422	20	403	14	26	51	0	0	0	1192	0	0	1226	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	61	2017	0	0	0	80	9433	5693	113	38	0	229	7936	565	12	71	559	130	4564	10	469	109	33	290	0	128	0	6	308	31	0	377
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	39	729	0	0	0	50	8801	7545	4019	402	0	16	1531	64	130	70	357	55	9057	0	1145	647	54	206	0	9	0	0	14	1300	0	5132
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	567	0	0	0	98	14981	3170	1147	1224	0	198	2373	7	0	0	0	334	5333	0	1660	340	114	48	0	112	0	0	96	51	0	591
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	504	0	0	0	74	13915	4699	647	1256	0	46	1950	50	0	0	38	90	7729	0	1438	468	47	39	0	127	0	0	196	63	0	713
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0	291	0	0	0	17	7740	9883	3837	345	0	16	1779	10	0	0	499	129	7179	0	1519	707	79	39	0	24	0	0	14	815	0	3014
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	52	1537	0	0	0	116	16006	4438	915	426	0	95	605	30	0	30	53	337	7389	0	2131	215	22	404	190	67	6	0	11	208	0	2073
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	46	931	0	0	0	114	13419	4201	481	682	0	155	2222	67	0	141	98	1169	9812	0	1871	227	61	109	0	15	0	0	275	90	0	1331
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	168	506	0	0	0	22	8131	0	0	172	0	409	1549	0	813	300	359	0	4185	41	1391	27	17	101	0	16	0	2566	0	0	1851	0
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	347	968	0	0	0	59	10033	0	0	153	0	2111	2030	0	395	220	108	28	3328	60	938	26	50	369	0	72	0	3675	0	0	849	0
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	91	290	0	0	0	0	3518	0	0	23	0	291	1069	0	409	50	104	0	2010	0	559	29	0	94	0	0	0	1495	0	0	308	0
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	1472	9	0	0	0	0	17	6	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8443	0	0	0	0
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	4760	112	0	14	0	0	9	0	0	0	0	22	31	0	0	0	0	0	39	0	0	0	0	0	0	0	0	19385	0	0	0	0
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	4110	7	0	0	0	0	24	3	0	0	0	40	57	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13337	0	0	4	0
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	4057	44	0	0	0	10	1060	17	0	0	0	76	114	0	0	0	26	0	360	0	87	0	0	0	4	9	0	16968	0	0	19	0
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	67	1566	0	0	0	107	12589	0	0	640	0	3544	4860	0	278	307	674	0	4004	94	1671	11	65	602	0	54	0	4	0	0	2519	0
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	48	674	0	0	0	38	11696	0	0	224	0	384	1984	0	534	321	309	0	5363	38	2316	29	34	584	0	26	0	33	0	0	1251	0
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	27	1110	0	0	0	27	10956	0	0	605	0	898	2424	0	696	407	826	0	5932	19	1938	52	31	390	0	29	0	2	0	0	1713	0
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	52	1532	0	0	0	20	17229	0	0	128	0	1061	3631	0	1312	774	407	0	6226	18	1256	50	57	396	0	111	0	8	0	0	3621	0
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	41	854	0	0	0	47	11597	0	0	224	0	1300	1938	0	665	686	383	15	4646	0	1070	38	8	165	0	33	0	39	0	0	3081	0
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	62	997	0	0	0	70	11625	0	0	517	3	165	250	0	697	214	908	0	7634	4	2745	101	35	522	0	13	0	0	0	0	1914	0
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	38	1014	0	0	0	31	8963	0	0	129	0	1944	2368	0	413	66	167	0	3425	49	1138	17	53	231	0	59	0	39	0	0	3255	0
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	121	785	0	0	0	28	11112	0	0	317	0	703	2221	0	1176	456	555	0	6400	51	2173	46	37	219	0	25	0	33	0	0	2795	0
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0	655	0	0	0	26	5266	0	0	111	0	1524	1670	0	195	143	63	12	2700	30	746	19	27	246	0	55	0	47	0	0	547	0
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	47	834	0	0	0	10	11213	0	0	89	0	728	2288	0	908	257	459	0	5698	7	1403	63	36	336	0	23	0	35	0	0	1040	0
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	3254	0	34	0	47	0	11	16	5	0	0	0	24	0	0	0	0	0	37	0	0	0	0	0	0	0	0	14810	0	0	0	4
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	3493	0	33	36	22	0	59	8	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	21	17675	0	0	0	0
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	3804	29	24	12	27	0	51	1258	226	0	0	0	100	0	0	0	0	0	46	0	0	0	0	0	0	0	120	21223	8	0	0	17
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	5029	177	60	0	99	0	21	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	73	17808	0	0	0	0
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	776	0	0	0	39	9562	3770	1531	792	0	93	951	19	2	0	111	39	4835	0	1041	164	55	65	0	76	0	41	20	510	0	2164
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	1804	0	0	0	335	15328	3680	2355	263	0	674	6410	130	0	44	103	91	2362	7	746	42	46	31	0	706	0	40	97	93	0	841
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	93	1214	0	0	0	76	20312	0	0	0	112	497	3305	0	3739	915	812	0	6970	0	3025	128	67	0	0	241	0	62	0	0	7	0
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	1602	0	0	0	173	7862	4605	1064	439	0	368	4578	202	3	24	68	697	6543	3	643	545	183	220	0	40	0	0	64	42	0	300
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	2185	0	0	0	76	12405	0	0	0	0	2523	4193	0	241	219	789	0	1988	103	915	7	30	0	0	847	0	0	0	0	0	0
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	31	1393	0	0	0	44	18685	0	0	0	0	1248	3599	0	357	464	613	0	5874	0	3466	22	35	0	0	438	0	0	0	0	0	0
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	891	0	0	0	87	16205	13	0	0	229	458	5444	0	761	1260	197	0	7156	0	3174	53	84	0	0	508	0	0	0	0	0	0
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0	2650	0	0	0	57	17265	12	0	0	7	2730	5825	0	298	129	496	0	4028	0	826	0	15	0	0	412	0	0	0	0	0	0
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	10	1264	0	0	0	136	15900	4361	713	251	0	196	5539	510	64	55	1340	435	5007	4	939	203	174	487	0	82	0	0	181	57	3	518
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	5009	0	18	86	10	0	74	0	0	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	15449	0	0	0	0
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	6224	12	17	53	14	0	19	7	0	0	3	0	100	0	0	0	0	0	49	0	5	0	0	0	0	0	0	19258	0	0	0	0
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	5126	15	22	32	21	0	418	0	0	0	0	0	144	0	0	0	2	0	50	0	5	0	0	0	0	0	0	15959	0	0	15	0
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	3232	0	10	0	8	0	13	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11832	0	0	0	0
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	4427	0	0	38	10	0	11	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15029	0	0	0	0
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	4616	18	27	0	34	0	16	75	4	0	0	0	27	0	0	0	0	0	8	0	0	0	0	0	0	0	74	11596	0	0	0	0
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	36	1256	0	0	0	48	11794	5	0	0	0	968	3812	0	2402	989	401	0	5801	36	1136	0	26	0	0	182	0	0	0	0	1741	0
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0	1264	0	0	0	39	14966	10	0	0	0	1414	3515	0	3091	1032	239	0	6135	29	1749	0	65	0	0	601	0	0	0	0	1438	0
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0	1148	0	0	0	55	12362	0	0	0	0	1300	4130	0	336	652	329	0	4920	35	1189	6	52	0	0	315	0	0	0	0	2294	0
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0	409	0	0	0	102	10952	0	0	0	0	830	236	0	1040	514	363	0	5874	48	1512	14	50	0	0	143	0	0	0	0	2458	0
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	44	1358	0	0	0	101	12933	7	0	0	0	1201	4051	0	1922	1431	834	0	6764	25	2108	14	46	13	0	137	0	0	0	0	671	0
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0	1323	0	0	0	90	12141	9	0	0	0	2095	3513	0	1719	474	342	0	5941	12	1611	20	48	14	0	296	0	0	0	0	2377	0
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	79	745	0	0	0	83	8528	0	0	0	0	1005	1061	0	866	420	415	0	4578	8	1274	16	36	0	0	225	0	23	0	0	2496	0
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0	870	0	0	0	55	11485	0	0	0	5	675	1473	0	1514	877	688	0	5410	17	1604	0	32	0	0	256	0	34	0	0	615	0
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	92	1144	0	0	0	41	13005	0	0	0	35	1851	2388	0	1315	582	698	0	7756	8	3013	56	35	0	0	247	0	21	0	0	875	0
