SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00282866379310345	0	0.00141433189655172	0.00141433189655172	0	0	0.00404094827586207	0.00228987068965517	0	0	0.839372306034483	0	0.00101023706896552	0.147629310344828
P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000739523418241578	0	0.000862777321281841	0.000451930977814297	0	0	0.00739523418241578	0	0	0	0.941372226787182	0.000616269515201315	0	0.0485620377978636
P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00184380350322666	0	0.00381930725668379	0.000987751876728566	0	0	0.0181087844066904	0.00223890425391808	0	0	0.886671934676676	0	0.0010536020018438	0.0852759120242328
P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.000281148962091748	0	0.00164003561220186	0	0	0	0.000421723443137622	0.00220233353638536	0	0	0.833794105243428	0	0	0.161660653202755
P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00157075539054691	0	0.000821076681422248	0	0	0	0.00885334856490076	0.00114236755676139	7.13979722975867e-05	0	0.906575753248608	0.000249892903041554	0	0.0807154076824218
P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.00149884909801402	0	0.017772067876452	0.0409506985707403	0.0144531877308495	0	0.0172902949520904	0.0305122852095712	0	0	0.752689898827686	0.000481772924361651	0.00240886462180825	0.121942080188427
P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	0.0348880251712012	0	0.376087358874699	0	0	0.00277623542476402	0.175550620025912	0.182213585045345	0.00471960022209883	0	0.110309087543957	0	0.113455487692023	0
P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0613349551467234	0.0024327200851452	0.286848107039684	0.173118443059146	0.0034362171202676	0.00115554204044397	0.265835487304242	0.180781511327353	0.00881861030865136	0	0.00407480614261822	0.00936597232780903	0.000942679032993766	0.00185494906492322
P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0201158940397351	0.00137969094922737	0.242853200883002	0.208195364238411	0.110899558498896	0.0110927152317881	0.0480408388520971	0.314155629139073	0.00568432671081678	0	0.000248344370860927	0.000386313465783664	0.0358719646799117	0.00107615894039735
P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0178005211440053	0.00307663328414906	0.470316767651399	0.0995196684770665	0.0360091671114181	0.0384265218346781	0.0809342919034314	0.244278403917998	0.00150692242488934	0	0.00351615232474178	0.00301384484977867	0.00160110507644492	0
P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0151006711409396	0.00221716203259827	0.416916347075743	0.14078978906999	0.0193851869606903	0.0376318312559923	0.0613015340364334	0.293923777564717	0.00116850431447747	0	0.00380512943432407	0.00587248322147651	0.00188758389261745	0
P731CT5-S135	WT	Pan-CT5	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.00833285607926236	0.00048679915239677	0.221636790561824	0.283002119008075	0.109873432220377	0.00987915926922857	0.0516866158868335	0.289559589943302	0.00111677452608671	0	0.000687245862207205	0.000400893419620869	0.0233377240707863	0
P731CT6-S136	WT	Pan-CT6	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0435620553807783	0.00328770229288893	0.453646231896381	0.125782954964147	0.0259331689482187	0.0120738032480231	0.0206898506362838	0.288439191678712	0.0114502735028201	0.0053850296176629	0.00206898506362838	0.000311764872601536	0.00589519031828359	0.0014737975795709
P731CT7-S137	WT	Pan-CT7	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	0.0257281821699	0.00315038965345714	0.370834024208257	0.116094622229592	0.0132924335378323	0.0188470679268225	0.0675399325706074	0.369728624329851	0.00301221466865639	0	0.000414524954402255	0.00759962416404134	0.00248714972641353	0.00127120986016692
P731SA1-S156	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0223656294200849	0.000972418670438472	0.359397100424328	0	0	0.0076025459688826	0.122480551626591	0.279349363507779	0.00446428571428571	0	0.114126591230552	0	0.0818157708628006	0.00742574257425743
P731SA2-S157	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0374917696270189	0.00228513885123359	0.38858979821062	0	0	0.0059258685464193	0.175684573376196	0.184282892443549	0.0142918006119524	0	0.145125682636818	0	0.0328827607575816	0.0134397149386111
P731SA3-S158	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0280464216634429	0	0.340232108317215	0	0	0.00222437137330754	0.171083172147002	0.26615087040619	0.00909090909090909	0	0.14458413926499	0	0.0297872340425532	0.00880077369439072
P731SA5-S160	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000902889245585875	0	0.00170545746388443	0.000601926163723917	0	0	0.00210674157303371	0	0	0	0.847010433386838	0	0	0.147672552166934
P731SA6-S161	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.0051698670605613	0	0.000369276218611521	0	0	0	0.00217462662071229	0.00160019694731659	0	0	0.79537994419826	0	0	0.195306088954538
P731SA7-S162	WT	Pan-SA7	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.000398066533977822	0	0.00136479954506682	0.000170599943133352	0	0	0.00551606482797839	0	0	0.000170599943133352	0.758430480523173	0	0.00022746659084447	0.233721922092693
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.00192551748282351	0.000437617609732616	0.0463874666316573	0.000743949936545447	0	0	0.0083147345849197	0.0206993129403527	0	0.000175047043893046	0.742943416043062	0	0.00083147345849197	0.177541464268522
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0465295935345852	0.00317922510102211	0.374049203708106	0	0	0.0190159258378892	0.257962918944616	0.202816734014737	0.0178868552412646	0	0.00172331827905871	0	0.0748454956025671	0.00199072973615403
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0260372402070617	0.00146797496716372	0.451827242524917	0	0	0.00865332612222823	0.112106930387082	0.324886038785444	0.022560457390095	0	0.00227922429112261	0	0.0483272811558371	0.00185428416904891
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.039527099209458	0.0009614699807706	0.390143152197137	0	0	0.021544049569119	0.14308097713838	0.327790043444199	0.013887899722242	0	0.0011039099779218	0	0.0609999287800014	0.0009614699807706
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.040433899020824	0.000527857689566893	0.4547230066774	0	0	0.00337828921322811	0.158462878407981	0.231940668795693	0.0104515822534245	0	0.00314075325292301	0	0.0955686346960859	0.00137242999287392
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0318300409988818	0.00175177040626165	0.432240029817369	0	0	0.00834886321282147	0.14547148714126	0.255162131941856	0.00614983227730153	0	0.00268356317554976	0	0.114834140887067	0.0015281401416325
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0350119398791965	0.00245821042281219	0.408238516645596	0	0	0.0181556398370558	0.0391557803062228	0.408800393313668	0.0183312262958281	0	0.000456524792807979	0	0.0672144964180362	0.00217727208877651
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0433351852643275	0.00132484294200607	0.383050557716142	0	0	0.00551305611350912	0.201931706483183	0.210051711611607	0.00987221676140006	0	0.00418821317150306	0	0.139108508910637	0.00162400102568486
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.026834854544833	0.000957166786312515	0.379858476053738	0	0	0.010836495402181	0.140156565138618	0.332205243906608	0.00748641165008717	0	0.00198270262879021	0	0.0955457559908385	0.00413632789799337
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0465132793637267	0.00184632864649908	0.373952563556313	0	0	0.00788240306774606	0.24066183780713	0.265587274534867	0.0174691095014913	0	0.00724328930549638	0	0.0388439142167306	0
P731SM9-S146	WT	Pan-SM9	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0327392635628484	0.000392557117060532	0.440174295359975	0	0	0.00349375834183874	0.154039412734553	0.31102300384706	0.0131899191332339	0	0.00227683127895109	0	0.0408259401742954	0.0018450184501845
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00444127645575173	0	0.00060313630880579	0.000877289176444786	0.000274152867638995	0	0.00131593376466718	0.00202873122052857	0	0	0.812040793946705	0	0	0.178418686259458
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00425392670157068	0	0.00275804038893044	0.00037397157816006	0	0	0.00210359012715034	0	0	0	0.827225130890052	0	0	0.163285340314136
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00341651812240048	0	0.00189393939393939	0.0467171717171717	0.00839275103980986	0	0.00371360665478313	0.00170825906120024	0	0	0.792595068330362	0.00029708853238265	0	0.14126559714795
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.0144342297448234	0	0.000902139359051465	0	0	0	0.000472549188074577	0	0	0	0.768150184723773	0	0	0.216040896984277
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0316838151233056	0.00159235668789809	0.39041319614568	0.153927813163482	0.062510207414666	0.0323370896619304	0.043483586477217	0.254981218357015	0.00265392781316348	0	0.00477707006369427	0.000816593173281071	0.0208231259186673	0
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0509791731426795	0.00946675332749315	0.433153417921836	0.103992991776641	0.066549862944019	0.00743210783621104	0.203860174640405	0.0972390991041908	0.000876027919857575	0	0.0210811880068952	0.00274111962019951	0.00262808375957272	0
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0292002405291642	0.00182802164762477	0.488562838244137	0	0	0	0.184076969332532	0.286638604930848	0	0	0.00728803367408298	0	0.000168370414912808	0.00223692122669874
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0534570208222104	0.00577282434596903	0.262346502936466	0.153663908168713	0.0355045381740523	0.0146489588894821	0.171883342231714	0.290509877202349	0.00734116390816871	0	0.00133475707421249	0.00213561131873999	0.00140149492792312	0
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0823875419478903	0.0028656536329701	0.467742543644659	0	0	0	0.262320425323329	0.152746879831077	0	0	0.0319369556200747	0	0	0
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0384074554026855	0.00121315724172158	0.515178251399267	0	0	0	0.143483415589071	0.288786567040723	0	0	0.0120764289062285	0	0	0.000854724420303841
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0243975903614458	0.00238225629791895	0.443729463307777	0.000355969331872946	0	0	0.188718510405257	0.326506024096386	0	0	0.0139101861993428	0	0	0
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0762589928057554	0.00164028776978417	0.496834532374101	0.000345323741007194	0	0	0.254964028776978	0.15810071942446	0	0	0.0118561151079137	0	0	0
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0333412466038881	0.00358734931813985	0.419403339400174	0.115032576297117	0.0188072063517185	0.00662076969744929	0.166416079765767	0.215161826382844	0.0128458758671626	0	0.00216296061829021	0.00477433990134789	0.00158265411094405	0.000263775685157342
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00551497266702143	0	0.00357989453824198	0	0	0	0.000677277345072807	0.000532146485414349	0	0	0.747375550287843	0	0	0.242320158676407
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00372656340980552	0	0.000737549008190676	0.000271728581964986	0	0	0.00399829199177051	0.0020961919180156	0	0	0.747564147354528	0	0	0.241605527735725
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00412673666834793	0	0.0191663991929937	0	0	0	0.00660277866935669	0.00261359988995369	0	0	0.731762116557385	0	0.000687789444724655	0.235040579577239
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.0011892177589852	0	0.000858879492600423	0	0	0	0.00218023255813953	0	0	0	0.782241014799154	0	0	0.213530655391121
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00245198201879853	0	0.000561912545974663	0	0	0	0.00311606048222313	0	0	0	0.767725786677564	0	0	0.226144258275439
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00478933010003031	0	0.000969990906335253	0.0045468323734465	0.000242497726583813	0	0.00163685965444074	0.000484995453167627	0	0	0.707487117308275	0	0	0.279842376477721
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0410015342930826	0.00156693761629615	0.385009630137434	0.000163222668364182	0	0	0.234453040838312	0.273854992981425	0	0	0.00594130512845624	0	0.0568341331244083	0.00117520321222211
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0355185882485177	0.00109590580830078	0.420546828898193	0.000281001489307893	0	0	0.22536319442493	0.259898277460871	0	0	0.0168881895074044	0	0.0404080141624751	0
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0394190158980874	0.0018885417024345	0.424475500463551	0	0	0	0.197987844658861	0.246643546337946	0	0	0.0108161933866703	0	0.07876935755245	0
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0166632715420656	0.00415563251171318	0.446200855571399	0	0	0	0.0858015889183133	0.341210022407822	0	0	0.00582603381544103	0	0.100142595233245	0
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0403446226975639	0.00300059417706477	0.384224598930481	0.000207961972667855	0	0	0.213131313131313	0.33339275103981	0.000386215092097445	0	0.0040701128936423	0	0.0199346405228758	0.00130718954248366
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0413114754098361	0.00281030444964871	0.379110070257611	0.000281030444964871	0	0	0.228790007806401	0.263793911007026	0.000437158469945355	0	0.00924277907884465	0	0.0742232630757221	0
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0340836307072925	0.00379723670967152	0.390154634458779	0	0	0	0.134138530515143	0.308674169640406	0	0	0.011345960289139	0	0.114191600329399	0.00361423735016927
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0339711050370949	0.0021475985942991	0.448457633736822	0	0	0	0.143186255368996	0.336899648574776	0	0	0.0113237016790316	0	0.0240140570089809	0
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0344973162052952	0.00123635486400097	0.39216573186177	0	0	0	0.16853627646101	0.366322899704481	0	0	0.0080815391110307	0	0.0263856220975816	0.00277425969483143
