SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	291	164	1963	3050	0	79	0	9544	4979	189	204	0	209	1110	0	10	278	116	3	104	10	0	625	223	185	368
CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	446	163	969	2074	0	35	14	8137	4815	117	250	5	143	1259	0	0	209	134	9	111	0	0	96	50	208	264
CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	319	116	1869	2178	0	90	11	7049	5151	87	487	0	164	1183	0	0	272	142	0	104	6	3	85	131	113	230
CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	167	2656	3112	0	175	0	9826	5585	119	617	13	144	2143	0	0	687	258	0	121	12	19	98	76	78	667
CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	170	30	2460	2769	0	322	0	6463	6072	349	643	5	139	2545	0	15	689	346	9	108	20	12	151	201	80	953
CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	171	1262	2254	0	154	33	7683	5391	233	495	4	201	1272	0	4	564	211	0	130	7	4	100	28	90	733
CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	187	134	1963	3175	0	272	0	6883	6509	0	62	5	0	2721	0	12	641	290	21	82	0	0	109	397	88	884
CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	148	1365	2513	0	328	8	7346	3710	147	89	35	121	1880	0	0	914	231	0	89	11	12	45	101	122	286
CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	0	0	110	822	1693	0	65	0	5910	3965	141	91	0	101	754	0	0	235	100	0	162	0	0	35	18	104	453
Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	11	0	0	1834	696	83	0	0	7623	1002	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	71	0
Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	169	0	0	6953	2743	594	0	119	12120	3759	0	64	13	86	1542	81	0	369	90	0	81	0	0	0	68	1067	30
Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	97	0	0	4785	1376	406	0	55	7599	3004	0	5	0	0	491	78	0	82	73	0	94	0	0	0	58	528	209
Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	114	0	0	3535	1534	281	0	68	10130	3229	0	11	0	0	391	33	0	140	45	0	54	0	0	0	32	581	7
Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	143	0	0	5162	2201	462	0	130	13688	1575	0	0	0	16	550	163	0	72	137	0	126	0	0	0	33	510	19
Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	136	0	0	5890	1971	494	0	119	13461	4508	0	8	6	0	654	168	0	55	19	0	99	0	0	0	85	800	281
Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	123	0	0	6199	1544	768	0	71	13292	2734	0	6	0	0	722	82	0	117	31	0	272	0	0	0	0	382	13
Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	268	0	0	5172	2574	195	0	29	13620	3323	0	4	0	120	567	174	0	145	92	0	90	0	0	0	21	828	15
Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	148	0	0	3342	1676	335	0	141	11529	3424	0	6	0	0	918	91	0	181	121	0	224	0	0	0	35	748	335
SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	11011	1806	0	0	5	11208	2717	0	0	10	0	973	0	0	479	32	0	28	0	0	0	6	86	119
SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	13960	701	0	0	1050	85	14	0	17	58	0	1270	0	114	1903	425	0	86	0	0	0	12	302	371
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	11752	686	0	0	119	10416	1330	0	0	22	0	1043	0	0	111	150	0	43	0	0	0	0	223	98
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	6775	1792	0	0	20	5937	628	0	0	20	0	1806	0	0	1377	30	0	29	0	0	0	10	196	169
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	14913	663	0	0	598	131	2056	0	14	88	0	3937	0	0	2217	715	0	95	0	0	0	13	1373	646
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	7611	919	0	0	52	7792	308	0	0	0	0	310	0	0	57	27	0	0	0	0	0	8	668	78
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	17340	58	0	0	522	38	1070	0	8	14	0	1283	0	67	1389	245	0	128	0	0	0	0	615	476
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	86	1913	2918	0	161	25	4892	2482	25	174	5	119	1900	0	6	765	305	15	106	7	0	0	214	105	267
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	110	3839	3953	0	610	34	4367	3507	41	112	11	121	3490	0	27	1405	552	41	192	17	15	0	344	59	354
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	303	2148	4126	0	70	22	1131	9265	566	828	67	343	1672	53	0	621	362	0	73	0	7	357	60	283	1188
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	196	2191	3244	0	293	43	863	4942	439	448	58	146	2874	77	29	1623	578	0	91	17	16	119	108	119	370
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	151	1209	3178	0	49	58	5376	5196	14	145	8	148	1322	0	0	447	193	20	57	7	5	0	49	87	650
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	111	1083	1893	0	41	22	987	4870	129	284	22	186	796	105	0	394	120	0	24	0	6	300	0	0	477
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	230	1038	2596	0	123	0	827	6980	321	344	23	127	863	87	0	473	198	0	26	0	8	305	16	109	1067
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	235	1776	2787	0	54	13	1518	3753	288	226	9	0	1824	0	8	753	352	8	149	8	0	0	89	42	395
SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	238	2957	3745	0	206	220	6596	1422	0	16	26	0	2873	0	14	1355	675	57	251	15	14	0	437	224	196
SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	109	2287	2878	0	184	39	6466	4049	29	99	24	155	2098	0	16	955	405	23	114	8	0	0	216	88	575
